ID;LONGITUDE;LATITUDE;LOG1;LOG2;PREDIAL1;LOCAL;TIPO_ACID;LOCAL_VIA;QUEDA_ARR;DATA;DIA_SEM;HORA;FERIDOS;FERIDOS_GR;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_MET;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;OUTRO;TEMPO;NOITE_DIA;FONTE;BOLETIM;REGIAO;DIA;MES;ANO;FX_HORA;CONT_ACID;CONT_VIT;UPS;CONSORCIO;CORREDOR
635997;-51.195897;-30.040376;R VICENTE DA FONTOURA;;2473;Logradouro;ABALROAMENTO;2473 R VICENTE DA FONTOURA;0;01/01/2017;DOMINGO;10:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;BOM;DIA;DEPTRAN;000117;LESTE;1;1;2017;10;1;1;5;;0
636145;-51.189355;-30.055067;AV IPIRANGA;R BARAO DO AMAZONAS;0;Cruzamento;ABALROAMENTO;AV IPIRANGA & R BARAO DO AMAZONAS;0;01/01/2017;DOMINGO;13:15;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;310945;LESTE;1;1;2017;13;1;0;1;;0
636424;-51.186509;-30.017374;AV CRISTOVAO COLOMBO;R DOM PEDRO II;0;Cruzamento;ABALROAMENTO;AV CRISTOVAO COLOMBO & R DOM PEDRO II;0;01/01/2017;DOMINGO;23:10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;296280;LESTE;1;1;2017;23;1;0;1;;0
636144;-51.183856;-30.064335;AV BENTO GONCALVES;;3165;Logradouro;COLISAO;3165 AV BENTO GONCALVES;0;01/01/2017;DOMINGO;07:20;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;310957;LESTE;1;1;2017;7;1;0;1;;0
636149;-51.179127;-29.976026;AV ERNESTO NEUGEBAUER;R JOSE PEDRO BOESSIO;0;Cruzamento;CHOQUE;AV ERNESTO NEUGEBAUER & R JOSE PEDRO BOESSIO;0;01/01/2017;DOMINGO;07:10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;296279;NORTE;1;1;2017;7;1;0;1;;0
636150;-51.166861;-30.140699;ESTR COSTA GAMA;;3785;Logradouro;COLISAO;3785 ESTR COSTA GAMA;0;01/01/2017;DOMINGO;08:06;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;300802;SUL;1;1;2017;8;1;0;1;;0
636147;-51.166771;-30.004238;AV MARQUES DE SOUZA;;109;Logradouro;CHOQUE;109 AV MARQUES DE SOUZA;0;01/01/2017;DOMINGO;05:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;296875;NORTE;1;1;2017;5;1;0;1;;0
636143;-51.157271;-30.064531;AV BENTO GONCALVES;;5833;Logradouro;CHOQUE;5833 AV BENTO GONCALVES;0;01/01/2017;DOMINGO;07:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;BOM;DIA;EPTC;310809;LESTE;1;1;2017;7;1;0;1;CARRIS;0
636148;-51.151675;-30.021594;TRAV JOSE RODRIGUES FONSECA;AV DO FORTE;0;Cruzamento;CHOQUE;TRAV JOSE RODRIGUES FONSECA & AV DO FORTE;0;01/01/2017;DOMINGO;10:12;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;296868;NORTE;1;1;2017;10;1;0;1;;0
636146;-51.151597;-30.042328;R DR MURTINHO;R CARUMBE;0;Cruzamento;COLISAO;R DR MURTINHO & R CARUMBE;0;01/01/2017;DOMINGO;16:35;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;BOM;DIA;EPTC;310942;LESTE;1;1;2017;16;1;0;1;VIA LESTE (LOTE 5);0
635998;-51.143758;-30.069058;AV BENTO GONCALVES;;7221;Logradouro;ATROPELAMENTO;7221 AV BENTO GONCALVES;0;01/01/2017;DOMINGO;19:15;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;000317;LESTE;1;1;2017;19;1;1;5;;0
636117;-51.135640;-30.149807;AV IGNES E FAGUNDES;;221;Logradouro;ABALROAMENTO;221 AV IGNES E FAGUNDES;0;01/01/2017;DOMINGO;19:10;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;010317;SUL;1;1;2017;19;1;1;5;VIVA SUL (LOTE 3);0
636425;-51.132141;-30.010720;AV BALTAZAR DE OLIVEIRA GARCIA;R LILA RIPOLL;0;Cruzamento;ABALROAMENTO;AV BALTAZAR DE OLIVEIRA GARCIA & R LILA RIPOLL;0;01/01/2017;DOMINGO;04:10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;292411;NORTE;1;1;2017;4;1;0;1;;0
635999;-51.098735;-30.219852;ESTR DO VAREJAO;;229;Logradouro;ABALROAMENTO;229 ESTR DO VAREJAO;0;01/01/2017;DOMINGO;22:00;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;000517;SUL;1;1;2017;22;1;1;5;;0
636158;-51.241340;-30.037104;AV EDVALDO PEREIRA PAIVA;;100;Logradouro;COLISAO;100 AV EDVALDO PEREIRA PAIVA;0;02/01/2017;SEGUNDA-FEIRA;07:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;300988;CENTRO;2;1;2017;7;1;0;1;;0
636259;-51.236021;-30.036001;R WASHINGTON LUIZ;;432;Logradouro;ABALROAMENTO;432 R WASHINGTON LUIZ;0;02/01/2017;SEGUNDA-FEIRA;08:10;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;BOM;DIA;DEPTRAN;016117;CENTRO;2;1;2017;8;1;1;5;;0
636161;-51.231421;-30.099566;R DR BARCELOS;AV DA CAVALHADA;0;Cruzamento;COLISAO;R DR BARCELOS & AV DA CAVALHADA;0;02/01/2017;SEGUNDA-FEIRA;08:10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;304923;SUL;2;1;2017;8;1;0;1;;0
636000;-51.228123;-30.028190;LG JORNALISTA GLENIO PERES;;141;Logradouro;CHOQUE;141 LG JORNALISTA GLENIO PERES;0;02/01/2017;SEGUNDA-FEIRA;02:50;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;000917;CENTRO;2;1;2017;2;1;1;5;;0
636031;-51.227893;-30.033512;AV BORGES DE MEDEIROS;;772;Logradouro;ATROPELAMENTO;772 AV BORGES DE MEDEIROS;0;02/01/2017;SEGUNDA-FEIRA;20:33;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;001917;CENTRO;2;1;2017;20;1;1;5;;0
638133;-51.223340;-30.131265;AV DA CAVALHADA;;6347;Logradouro;ABALROAMENTO;6347 AV DA CAVALHADA;0;02/01/2017;SEGUNDA-FEIRA;16:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;BOM;DIA;DEPTRAN;147717;SUL;2;1;2017;16;1;1;5;;0
