ID;LONGITUDE;LATITUDE;LOG1;LOG2;PREDIAL1;LOCAL;TIPO_ACID;LOCAL_VIA;QUEDA_ARR;DATA;DIA_SEM;HORA;FERIDOS;FERIDOS_GR;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_MET;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;OUTRO;TEMPO;NOITE_DIA;FONTE;BOLETIM;REGIAO;DIA;MES;ANO;FX_HORA;CONT_ACID;CONT_VIT;UPS;CONSORCIO;CORREDOR
648978;-51229523;-30049342;AV BORGES DE MEDEIROS;;2500;Logradouro;ABALROAMENTO;2500 AV BORGES DE MEDEIROS;0;01/01/2018;SEGUNDA-FEIRA;12:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;303626;SUL;1;1;2018;12;1;0;1;;0
648728;-51214455;-30122420;R CASEMIRO DE SOUZA;;170;Logradouro;ATROPELAMENTO;170 R CASEMIRO DE SOUZA;0;01/01/2018;SEGUNDA-FEIRA;00:30;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;000118;SUL;1;1;2018;0;1;1;5;;0
648982;-51210011;-30049385;AV JOAO PESSOA;AV PRINCESA ISABEL;0;Cruzamento;ABALROAMENTO;AV JOAO PESSOA & AV PRINCESA ISABEL;0;01/01/2018;SEGUNDA-FEIRA;11:00;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;CHUVOSO;DIA;EPTC;309182;LESTE;1;1;2018;11;1;0;1;;0
648979;-51207923;-30021298;AV CRISTOVAO COLOMBO;R HOFFMANN;0;Cruzamento;COLISAO;AV CRISTOVAO COLOMBO & R HOFFMANN;0;01/01/2018;SEGUNDA-FEIRA;14:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;316465;NORTE;1;1;2018;14;1;0;1;;0
648983;-51207164;-30043860;AV IPIRANGA;R RAMIRO BARCELOS;0;Cruzamento;ABALROAMENTO;AV IPIRANGA & R RAMIRO BARCELOS;0;01/01/2018;SEGUNDA-FEIRA;01:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;313751;CENTRO;1;1;2018;1;1;0;1;;0
648729;-51203106;-30073318;AV PROF OSCAR PEREIRA;;2617;Logradouro;COLISAO;2617 AV PROF OSCAR PEREIRA;0;01/01/2018;SEGUNDA-FEIRA;07:55;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;BOM;DIA;DEPTRAN;000218;SUL;1;1;2018;7;1;0;1;;0
648977;-51197103;-30082179;AV PROF OSCAR PEREIRA;;3756;Logradouro;COLISAO;3756 AV PROF OSCAR PEREIRA;0;01/01/2018;SEGUNDA-FEIRA;11:35;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;303748;SUL;1;1;2018;11;1;0;1;;0
648981;-51190053;-30061100;AV BENTO GONCALVES;;2460;Logradouro;COLISAO;2460 AV BENTO GONCALVES;0;01/01/2018;SEGUNDA-FEIRA;16:45;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;297520;LESTE;1;1;2018;16;1;0;1;;0
649060;-51179437;-30059209;AV IPIRANGA;;6107;Logradouro;ABALROAMENTO;6107 AV IPIRANGA;0;01/01/2018;SEGUNDA-FEIRA;22:40;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;CHUVOSO;NOITE;EPTC;297521;LESTE;1;1;2018;22;1;0;1;;0
649180;-51161033;-30158683;AV EDGAR PIRES DE CASTRO;;3130;Logradouro;QUEDA;3130 AV EDGAR PIRES DE CASTRO;0;01/01/2018;SEGUNDA-FEIRA;00:30;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;031818;SUL;1;1;2018;0;1;1;5;;0
648730;-51134118;-30229493;AV BOA VISTA;;1590;Logradouro;CHOQUE;1590 AV BOA VISTA;0;01/01/2018;SEGUNDA-FEIRA;20:18;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;000818;SUL;1;1;2018;20;1;1;5;;0
648980;-51132836;-29999777;AV SERTORIO;;7600;Logradouro;COLISAO;7600 AV SERTORIO;0;01/01/2018;SEGUNDA-FEIRA;12:25;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;CHUVOSO;DIA;EPTC;307973;NORTE;1;1;2018;12;1;0;1;;0
648734;0;0;AV BOA VISTA;;0;Logradouro;CHOQUE;AV BOA VISTA;0;01/01/2018;SEGUNDA-FEIRA;11:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;003518;SUL;1;1;2018;11;1;1;5;;0
649015;-51242288;-30105914;AV OTTO NIEMEYER;;1709;Logradouro;COLISAO;1709 AV OTTO NIEMEYER;0;02/01/2018;TERCA-FEIRA;14:40;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;CHUVOSO;DIA;EPTC;313880;SUL;2;1;2018;14;1;0;1;;0
649222;-51234894;-30131763;AV CEL MARCOS;;2411;Logradouro;COLISAO;2411 AV CEL MARCOS;0;02/01/2018;TERCA-FEIRA;19:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;303606;SUL;2;1;2018;19;1;0;1;;0
649016;-51230706;-30110012;R LIBERAL;;3068;Logradouro;COLISAO;3068 R LIBERAL;0;02/01/2018;TERCA-FEIRA;09:15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;303651;SUL;2;1;2018;9;1;0;1;;0
649006;-51229026;-30027854;R SIQUEIRA CAMPOS;R URUGUAI;0;Cruzamento;ABALROAMENTO;R SIQUEIRA CAMPOS & R URUGUAI;0;02/01/2018;TERCA-FEIRA;16:40;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;NUBLADO;DIA;EPTC;301446;CENTRO;2;1;2018;16;1;0;1;VIVA SUL (LOTE 3);0
649008;-51227842;-30038652;AV LOUREIRO DA SILVA;R JOAO ALFREDO;0;Cruzamento;ABALROAMENTO;AV LOUREIRO DA SILVA & R JOAO ALFREDO;0;02/01/2018;TERCA-FEIRA;19:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;302072;CENTRO;2;1;2018;19;1;0;1;;0
649014;-51223100;-30032535;AV DES ANDRE DA ROCHA;AV JOAO PESSOA;0;Cruzamento;CHOQUE;AV DESEMBARGADOR ANDRE DA ROCHA & AV JOAO PESSOA;0;02/01/2018;TERCA-FEIRA;01:15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NUBLADO;NOITE;EPTC;314029;CENTRO;2;1;2018;1;1;0;1;;0
649005;-51223044;-30025022;AV JULIO DE CASTILHOS;;398;Logradouro;COLISAO;398 AV JULIO DE CASTILHOS;0;02/01/2018;TERCA-FEIRA;16:39;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;302986;CENTRO;2;1;2018;16;1;0;1;;0
648737;-51208895;-30036848;AV OSVALDO ARANHA;;1407;Logradouro;ATROPELAMENTO;1407 AV OSVALDO ARANHA;0;02/01/2018;TERCA-FEIRA;12:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;003818;CENTRO;2;1;2018;12;1;1;5;;0
649001;-51207958;-30016996;AV FARRAPOS;;1637;Logradouro;CHOQUE;1637 AV FARRAPOS;0;02/01/2018;TERCA-FEIRA;10:40;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;NUBLADO;DIA;EPTC;307541;NORTE;2;1;2018;10;1;0;1;;0
649002;-51201650;-30015711;R TRES DE MAIO;;51;Logradouro;CHOQUE;51 R TRES DE MAIO;0;02/01/2018;TERCA-FEIRA;07:15;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;307540;NORTE;2;1;2018;7;1;0;1;;0
649010;-51195042;-30024827;AV CEL LUCAS DE OLIVEIRA;;264;Logradouro;COLISAO;264 AV CEL LUCAS DE OLIVEIRA;0;02/01/2018;TERCA-FEIRA;16:15;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;CHUVOSO;DIA;EPTC;298205;LESTE;2;1;2018;16;1;0;1;;0
649012;-51190894;-30021818;AV PLINIO BRASIL MILANO;;12;Logradouro;CHOQUE;12 AV PLINIO BRASIL MILANO;0;02/01/2018;TERCA-FEIRA;17:00;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;309183;LESTE;2;1;2018;17;1;0;1;;0
649013;-51189577;-30018941;R MARQUES DO POMBAL;R MARCELO GAMA;0;Cruzamento;CAPOTAGEM;R MARQUES DO POMBAL & R MARCELO GAMA;0;02/01/2018;TERCA-FEIRA;15:24;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;CHUVOSO;DIA;EPTC;315874;LESTE;2;1;2018;15;1;0;1;;0
649011;-51178310;-30047289;AV SENADOR TARSO DUTRA;R DR JOSE CARVALHO BERNARDES;0;Cruzamento;COLISAO;AV SENADOR TARSO DUTRA & R DR JOSE CARVALHO BERNARDES;0;02/01/2018;TERCA-FEIRA;17:55;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;297947;LESTE;2;1;2018;17;1;0;1;;0
648739;-51178292;-30066858;AV ROCIO;R TEN ALPOIM;0;Cruzamento;ABALROAMENTO;AV ROCIO & R TEN ALPOIM;0;02/01/2018;TERCA-FEIRA;18:00;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;004718;LESTE;2;1;2018;18;1;1;5;;0
